,City,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Country,Cloudiness,Date
0,vaini,-21.2,-175.2,17.0,100,4.64,TO,40,1590164962
1,banjar,-8.19,114.97,27.0,100,1.0,ID,40,1590164962
2,mataura,-46.19,168.86,5.71,92,1.01,NZ,12,1590164962
3,mobai,7.99,-10.75,32.84,54,1.14,SL,69,1590164962
4,butaritari,3.07,172.79,28.21,80,6.21,KI,100,1590164962
5,hamilton,39.18,-84.53,21.11,77,1.18,US,75,1590164962
6,bambous virieux,-20.34,57.76,23.33,69,8.2,MU,40,1590164962
7,bethel,41.37,-73.41,23.33,56,3.6,US,40,1590164962
8,nome,64.5,-165.41,9.0,70,5.7,US,90,1590164962
9,arraial do cabo,-22.97,-42.03,28.0,58,5.1,BR,0,1590164962
10,rikitea,-23.12,-134.97,21.82,68,9.08,PF,16,1590164962
11,okato,-39.2,173.88,1.11,96,1.57,NZ,15,1590164962
12,ushuaia,-54.8,-68.3,11.0,40,7.2,AR,75,1590164962
13,katsuura,35.13,140.3,16.67,89,2.24,JP,100,1590164963
14,san rafael,-34.62,-68.33,10.38,45,2.63,AR,0,1590164922
15,qaanaaq,77.48,-69.36,1.53,83,0.45,GL,0,1590164963
16,bredasdorp,-34.53,20.04,17.0,55,4.1,ZA,0,1590164963
17,palmer,42.16,-72.33,25.0,44,2.6,US,20,1590164963
18,souillac,-20.52,57.52,23.0,69,8.2,MU,40,1590164963
19,linxia,35.6,103.21,14.58,54,1.44,CN,68,1590164963
20,cidreira,-30.18,-50.21,20.32,92,0.51,BR,100,1590164963
21,chuy,-33.7,-53.46,16.64,90,8.97,UY,100,1590164963
22,thompson,55.74,-97.86,2.0,90,4.1,CA,90,1590164963
23,lebu,-37.62,-73.65,13.2,42,0.53,CL,50,1590164963
24,cayenne,4.93,-52.33,26.0,100,2.1,GF,30,1590164963
25,hobart,-42.88,147.33,4.44,86,6.7,AU,0,1590164844
26,dovbysh,50.37,27.99,10.3,67,4.49,UA,24,1590164964
27,saint-pierre,-21.34,55.48,23.0,78,11.8,RE,75,1590164883
28,guelengdeng,-0.87,134.08,26.99,78,1.83,ID,100,1590164964
29,manokwari,50.2,-66.38,9.0,26,10.3,CA,20,1590164964
30,sept-iles,-34.42,19.23,18.89,68,7.17,ZA,0,1590164964
31,hermanus,50.68,156.12,3.28,79,3.69,RU,88,1590164964
32,severo-kurilsk,-23.04,29.9,15.69,50,2.0,ZA,0,1590164964
33,louis trichardt,67.45,153.68,-0.78,90,3.47,RU,88,1590164964
34,srednekolymsk,-22.12,14.28,16.67,86,5.84,NA,0,1590164964
35,henties bay,65.97,29.18,10.0,29,2.1,FI,60,1590164923
36,kuusamo,44.1,1.09,30.0,48,1.0,FR,100,1590164964
37,moissac,65.44,52.15,4.86,82,5.8,RU,100,1590164964
38,ust-tsilma,-24.79,-50.01,20.11,76,5.92,BR,100,1590164964
39,castro,-0.6,73.08,29.48,75,5.99,MV,100,1590164964
40,hithadhoo,14.3,-91.92,27.0,83,2.1,GT,75,1590164964
41,champerico,-41.41,175.52,11.0,81,5.1,NZ,60,1590164964
42,waipawa,38.52,-28.7,17.0,72,4.1,PT,20,1590164965
43,ribeira grande,59.7,30.79,12.0,30,5.0,RU,56,1590164965
44,nikolskoye,64.75,177.48,-3.0,86,1.0,RU,40,1590164965
45,anadyr,66.04,-17.34,9.0,70,8.7,IS,20,1590164965
46,husavik,71.69,128.87,-1.08,96,3.42,RU,100,1590164965
47,tiksi,39.45,75.98,23.0,20,1.0,CN,20,1590164965
48,kashi,64.18,-51.72,7.0,65,2.6,GL,40,1590164965
49,nuuk,21.23,-86.73,30.0,66,6.7,MX,40,1590164965
50,isla mujeres,71.97,102.5,11.56,84,3.63,RU,96,1590164965
51,khatanga,78.22,15.64,1.0,64,2.1,SJ,20,1590164901
52,longyearbyen,61.99,5.14,15.56,67,13.4,NO,75,1590164965
53,raudeberg,61.67,96.37,16.19,42,0.71,RU,3,1590164965
54,baykit,57.79,-152.41,8.0,81,4.1,US,90,1590164965
55,kodiak,-51.62,-69.22,10.0,61,8.7,AR,100,1590164965
